caseid,age,sex,marry,job_satisfaction,income,school,satisfaction_balance,satisfaction_familytime,outdoor_activity,discrimination,competition,match_JobandEducation,weeks_employed
1960,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,12
1962,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,32
1964,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,Yes,0,0,52
1965,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,24
1966,45 to 54 years,Female,1,1,"More than 100,000",0,0,Satisfied,0,No,0,1,52
1968,15 to 24 years,Female,0,1,"Less than 50,000",1,0,Dissatisfied,0,No,0,0,52
1969,55 to 64 years,Female,1,1,"More than 100,000",0,1,Dissatisfied,1,No,0,1,40
1975,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
1978,25 to 34 years,Female,1,0,"Between 50,000 to 100,000",1,0,Neither satisfied nor dissatisfied,1,No,0,1,52
1981,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
1982,15 to 24 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
1984,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
1989,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
1990,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Very satisfied,1,No,0,1,52
1992,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,0,52
1997,55 to 64 years,Female,1,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
1999,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2001,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,1,1,52
2003,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2005,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,0,Yes,0,1,52
2007,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,No,0,0,52
2008,55 to 64 years,Male,1,1,"More than 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2010,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,29
2012,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,1,Dissatisfied,1,No,1,1,52
2014,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
2015,45 to 54 years,Male,0,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,8
2019,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
2020,45 to 54 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,Yes,1,1,52
2022,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,0,"NA",1,Yes,0,1,52
2023,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,1,1,52
2024,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,1,1,52
2030,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,0,52
2034,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
2036,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2039,45 to 54 years,Male,0,0,"Less than 50,000",0,1,"NA",1,No,0,1,52
2051,35 to 44 years,Female,0,0,"Less than 50,000",0,0,"NA",1,No,0,1,52
2052,55 to 64 years,Male,1,1,"More than 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2053,35 to 44 years,Female,1,0,"Less than 50,000",0,0,Dissatisfied,1,No,0,0,48
2055,65 to 74 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,52
2056,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,0,52
2057,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2058,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,0,52
2065,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
2069,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,Yes,0,1,52
2081,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,0,52
2082,35 to 44 years,Female,1,0,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2084,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,0,52
2093,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Very satisfied,1,No,0,0,52
2095,25 to 34 years,Female,1,1,"Less than 50,000",1,1,Satisfied,1,No,1,1,52
2096,55 to 64 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,1,1,52
2097,25 to 34 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,1,1,48
2099,45 to 54 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
2100,65 to 74 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",0,No,0,1,52
2101,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2102,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very dissatisfied,1,No,0,0,52
2107,35 to 44 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
2110,65 to 74 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2114,25 to 34 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,0,52
2117,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,0,Very dissatisfied,1,No,0,1,52
2118,25 to 34 years,Female,0,1,"Less than 50,000",0,0,"NA",1,No,1,1,52
2127,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Very satisfied,1,No,0,1,52
2131,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
2137,35 to 44 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
2138,25 to 34 years,Female,0,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
2139,35 to 44 years,Male,0,1,"More than 100,000",0,1,"NA",1,No,0,1,52
2140,35 to 44 years,Male,1,1,"More than 100,000",0,0,"NA",0,Yes,1,1,52
2141,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,1,1,52
2146,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,52
2149,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,0,52
2152,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2156,15 to 24 years,Male,0,1,"Less than 50,000",1,1,"NA",1,No,0,0,52
2160,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,Yes,1,1,52
2162,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2166,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2167,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,1,1,52
2169,25 to 34 years,Female,1,1,"Less than 50,000",0,0,Satisfied,0,No,1,0,52
2172,25 to 34 years,Male,1,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2176,35 to 44 years,Male,1,1,"Less than 50,000",1,0,Satisfied,1,No,1,1,52
2177,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,52
2178,35 to 44 years,Female,1,0,"Less than 50,000",1,0,"NA",0,No,0,1,48
2179,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,26
2180,35 to 44 years,Female,0,0,"Between 50,000 to 100,000",0,1,"NA",0,Yes,1,1,52
2190,25 to 34 years,Female,0,1,"Less than 50,000",0,1,Satisfied,1,No,1,1,52
2192,25 to 34 years,Male,0,1,"More than 100,000",0,0,"NA",1,No,1,1,52
2195,45 to 54 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,0,52
2198,45 to 54 years,Female,1,0,"Less than 50,000",0,1,Very dissatisfied,1,No,0,0,52
2203,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,1,52
2205,45 to 54 years,Male,0,1,"Less than 50,000",1,0,Satisfied,1,No,1,1,52
2207,35 to 44 years,Male,1,0,"More than 100,000",0,0,Neither satisfied nor dissatisfied,1,No,1,1,52
2210,45 to 54 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
2211,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
2214,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2215,35 to 44 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
2216,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,0,52
2217,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,43
2219,55 to 64 years,Male,1,0,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,1,0,52
2220,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,0,Yes,0,1,52
2224,35 to 44 years,Female,0,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,0,No,0,1,52
2229,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,52
2230,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",1,0,Neither satisfied nor dissatisfied,1,No,1,1,52
2231,65 to 74 years,Female,1,1,"More than 100,000",0,1,Satisfied,0,Yes,0,1,52
2233,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,30
2234,55 to 64 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
2235,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2239,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2240,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Dissatisfied,1,No,1,1,52
2246,25 to 34 years,Female,0,1,"Less than 50,000",1,1,Satisfied,0,No,0,0,11
2247,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",1,0,"NA",1,No,0,1,52
2249,15 to 24 years,Female,0,0,"Less than 50,000",1,0,Neither satisfied nor dissatisfied,1,No,0,0,52
2250,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
2252,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2256,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2258,65 to 74 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,18
2264,25 to 34 years,Female,0,1,"Less than 50,000",1,1,"NA",1,No,0,0,52
2271,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Very satisfied,1,No,1,0,32
2277,35 to 44 years,Male,1,1,"More than 100,000",0,0,"NA",1,No,0,1,52
2278,15 to 24 years,Male,0,1,"Less than 50,000",0,0,"NA",1,No,0,1,8
2280,55 to 64 years,Female,1,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,0,0,52
2281,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2294,45 to 54 years,Female,0,1,"Less than 50,000",0,1,Dissatisfied,1,No,0,1,52
2295,35 to 44 years,Male,1,1,"More than 100,000",0,0,Neither satisfied nor dissatisfied,0,No,0,0,52
2297,25 to 34 years,Female,1,0,"Less than 50,000",0,0,Satisfied,1,Yes,0,1,52
2301,25 to 34 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,36
2302,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
2303,35 to 44 years,Female,1,1,"Less than 50,000",0,1,"NA",0,No,1,1,52
2307,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,Yes,1,0,52
2308,25 to 34 years,Female,0,1,"Less than 50,000",0,1,"NA",1,"NA",1,1,48
2313,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Dissatisfied,0,No,0,1,52
2314,25 to 34 years,Female,0,1,"Less than 50,000",0,0,"NA",1,Yes,0,0,52
2316,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
2320,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2323,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
2325,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2327,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,0,No,1,1,52
2328,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
2331,35 to 44 years,Female,0,0,"More than 100,000",0,0,"NA",0,No,0,1,52
2333,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",1,0,Satisfied,1,Yes,1,1,52
2334,25 to 34 years,Male,1,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,1,1,52
2336,55 to 64 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,52
2342,55 to 64 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
2349,25 to 34 years,Male,0,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,40
2351,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,1,0,52
2352,35 to 44 years,Female,0,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
2357,55 to 64 years,Female,1,1,"More than 100,000",0,0,Satisfied,1,No,1,1,52
2361,35 to 44 years,Male,1,1,"More than 100,000",1,0,"NA",1,No,0,1,52
2367,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,38
2368,45 to 54 years,Male,0,1,"Less than 50,000",0,0,"NA",1,No,0,1,17
2369,25 to 34 years,Female,1,1,"Less than 50,000",0,0,Satisfied,0,No,0,1,52
2371,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,44
2375,35 to 44 years,Male,1,1,"Less than 50,000",0,0,Dissatisfied,0,No,0,0,52
2377,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,0,52
2378,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2379,55 to 64 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,0,No,0,1,14
2381,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Satisfied,1,No,0,1,52
2382,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2383,35 to 44 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
2384,55 to 64 years,Male,1,0,"Between 50,000 to 100,000",0,1,Very satisfied,0,Yes,1,1,52
2386,15 to 24 years,Female,0,1,"Less than 50,000",1,0,Satisfied,1,No,0,0,52
2388,25 to 34 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,Yes,0,0,52
2398,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,1,0,52
2399,35 to 44 years,Male,1,1,"Less than 50,000",1,1,Very satisfied,1,No,0,0,52
2401,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,1,52
2405,25 to 34 years,Female,0,1,"Between 50,000 to 100,000",0,1,Dissatisfied,1,No,1,1,50
2406,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,25
2410,55 to 64 years,Female,0,1,"Less than 50,000",1,1,"NA",1,No,0,0,52
2412,25 to 34 years,Female,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,52
2413,25 to 34 years,Female,0,0,"Less than 50,000",0,0,"NA",1,No,0,1,52
2414,45 to 54 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,26
2419,35 to 44 years,Male,1,1,"More than 100,000",0,1,"NA",0,No,1,1,52
2421,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2423,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,52
2424,35 to 44 years,Male,1,1,"More than 100,000",0,1,"NA",1,No,0,1,52
2426,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
2428,35 to 44 years,Female,0,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
2429,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2435,45 to 54 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
2444,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,0,52
2448,45 to 54 years,Male,1,1,"More than 100,000",0,0,Dissatisfied,1,No,0,1,52
2450,15 to 24 years,Female,0,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,50
2451,55 to 64 years,Female,1,1,"Less than 50,000",0,0,Satisfied,0,No,0,1,52
2452,35 to 44 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,1,1,52
2453,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,16
2456,25 to 34 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,1,1,52
2457,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,0,No,0,1,52
2462,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Very satisfied,1,No,0,0,52
2463,25 to 34 years,Female,0,1,"Less than 50,000",0,0,Very satisfied,1,No,0,1,52
2464,25 to 34 years,Female,0,0,"Less than 50,000",1,0,"NA",1,No,0,0,52
2466,25 to 34 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
2467,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,1,52
2468,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2469,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
2471,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2474,45 to 54 years,Female,1,0,"Less than 50,000",0,1,Very satisfied,0,Yes,0,1,52
2477,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2478,25 to 34 years,Male,1,0,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,No,1,1,52
2482,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Dissatisfied,1,No,0,1,52
2493,55 to 64 years,Male,1,1,"Less than 50,000",0,1,"NA",1,Yes,1,1,52
2497,55 to 64 years,Male,1,0,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
2499,25 to 34 years,Male,0,1,"Between 50,000 to 100,000",1,1,Satisfied,1,No,1,1,50
2501,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,1,0,52
2503,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2504,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,1,0,30
2506,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,0,1,52
2508,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,0,52
2510,15 to 24 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
2512,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,52
2513,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2514,45 to 54 years,Male,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
2524,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2525,15 to 24 years,Male,0,1,"Less than 50,000",1,1,Neither satisfied nor dissatisfied,0,No,0,1,16
2530,55 to 64 years,Male,1,0,"Between 50,000 to 100,000",0,0,Very satisfied,1,Yes,1,1,52
2531,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,1,0,52
2535,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,1,1,52
2536,15 to 24 years,Male,0,1,"Less than 50,000",0,0,Satisfied,0,No,1,0,48
2538,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Dissatisfied,1,No,0,0,8
2540,45 to 54 years,Male,1,1,"More than 100,000",0,0,Satisfied,1,No,0,1,52
2542,45 to 54 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,30
2545,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,0,1,52
2548,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Satisfied,1,Yes,1,0,52
2551,45 to 54 years,Female,0,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,52
2553,45 to 54 years,Male,1,1,"Less than 50,000",0,0,Satisfied,1,No,1,1,28
2557,25 to 34 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,1,0,52
2561,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,No,0,1,52
2563,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,0,No,0,0,48
2564,55 to 64 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,Yes,0,1,52
2566,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2569,45 to 54 years,Female,0,0,"Less than 50,000",0,0,Satisfied,0,Yes,1,1,40
2571,45 to 54 years,Male,0,1,"More than 100,000",0,1,Satisfied,0,No,1,1,52
2573,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,38
2574,35 to 44 years,Female,1,1,"More than 100,000",0,0,Very dissatisfied,1,No,1,1,52
2577,25 to 34 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,1,0,52
2578,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,0,52
2580,35 to 44 years,Male,1,1,"More than 100,000",0,0,Satisfied,1,No,0,1,52
2582,25 to 34 years,Male,0,0,"Less than 50,000",0,0,"NA",1,No,0,1,48
2588,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
2590,45 to 54 years,Female,1,0,"Less than 50,000",0,0,Very dissatisfied,1,No,0,1,52
2592,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
2596,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,0,Very dissatisfied,1,No,0,1,52
2597,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2598,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,Yes,1,1,52
2602,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,42
2603,35 to 44 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,0,52
2604,25 to 34 years,Male,0,0,"Less than 50,000",0,0,Dissatisfied,1,Yes,1,1,52
2607,35 to 44 years,Female,1,1,"More than 100,000",0,0,Satisfied,1,No,1,1,52
2608,25 to 34 years,Male,0,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
2611,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",1,1,Very satisfied,1,No,0,1,52
2616,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,No,1,1,52
2620,25 to 34 years,Female,0,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,52
2621,45 to 54 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,32
2622,75 years and over,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2626,15 to 24 years,Male,0,0,"Less than 50,000",1,0,Neither satisfied nor dissatisfied,1,No,0,0,16
2631,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,Yes,0,0,52
2632,35 to 44 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,1,1,52
2634,45 to 54 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
2635,35 to 44 years,Male,1,0,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,1,1,52
2637,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
2638,45 to 54 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,44
2639,45 to 54 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
2641,75 years and over,Male,1,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2642,45 to 54 years,Female,0,0,"Less than 50,000",0,0,Satisfied,0,No,0,1,52
2644,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,52
2645,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
2650,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,0,52
2655,25 to 34 years,Female,0,1,"Less than 50,000",0,1,"NA",1,Yes,0,1,52
2656,55 to 64 years,Male,1,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,0,No,0,0,52
2664,55 to 64 years,Male,1,1,"More than 100,000",0,1,"NA",1,No,0,1,52
2666,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Satisfied,1,No,0,0,52
2667,15 to 24 years,Male,0,0,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2668,65 to 74 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,0,0,52
2670,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,1,1,52
2671,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
2676,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2683,45 to 54 years,Male,1,1,"Less than 50,000",0,0,Very dissatisfied,1,No,0,0,52
2686,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
2692,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,0,0,52
2695,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
2697,55 to 64 years,Female,0,0,"Less than 50,000",0,1,Dissatisfied,1,No,1,1,52
2698,15 to 24 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
